CPF,Nome,Tipo,QuantidadeEmprestado,DataNovoEmprestimo
12345678-09,Renata Batata,Estudante,0,20/03/2019
7894561-25,João Antonio de Sá,Professor,0,20/03/2019
8523697-41,Bete Pimenta,Estudante,0,20/03/2019
1254789-63,Tony Meola,Professor,0,20/03/2019
12345678-77,Marcus Gold,Estudante,0,02/04/19
123456789-11,Gustavo Kida,Estudante,0,02/04/19
12345678-99,Wilson,Estudante,0,02/04/19
12345678-99,Wil And,Estudante,0,2019-04-04 13:47:53.808392
12345678-66,Iroshima,Professor,0,04/04/2019
12345678-11,The Great,Estudante,1,06/04/2019
